product_id,vendor,max_price,min_price,last_updated
64487,chemist_warehouse,6.49,6.49,2026-05-07
65037,chemist_warehouse,2.99,2.99,2026-05-16
65521,chemist_warehouse,3.99,3.99,2026-05-07
65794,chemist_warehouse,7.69,5.49,2026-05-16
66115,chemist_warehouse,5.89,2.99,2026-05-16
66129,chemist_warehouse,6.75,6.75,2026-05-16
66509,chemist_warehouse,3.84,3.84,2026-05-16
66510,chemist_warehouse,3.84,3.84,2026-05-16
66511,chemist_warehouse,3.84,3.84,2026-05-16
68891,chemist_warehouse,2.94,2.52,2026-05-16
72200,chemist_warehouse,6.49,6.49,2026-05-07
74835,chemist_warehouse,8.4,7.0,2026-05-16
77857,chemist_warehouse,11.99,11.99,2026-05-16
79687,chemist_warehouse,25.69,25.69,2026-05-07
83568,chemist_warehouse,6.3,5.25,2026-05-16
84550,chemist_warehouse,5.49,5.49,2026-05-16
84551,chemist_warehouse,6.49,6.49,2026-05-16
85219,chemist_warehouse,4.62,3.08,2026-05-16
86416,chemist_warehouse,5.99,4.89,2026-05-16
86965,chemist_warehouse,13.99,13.99,2026-05-16
88177,chemist_warehouse,4.46,3.82,2026-05-16
88320,chemist_warehouse,6.99,3.5,2026-05-16
88803,chemist_warehouse,4.46,3.82,2026-05-16
89413,chemist_warehouse,8.4,7.0,2026-05-16
90691,chemist_warehouse,3.99,3.99,2026-05-16
91155,chemist_warehouse,6.99,6.99,2026-05-07
91511,chemist_warehouse,9.49,5.49,2026-05-16
1132685,coles,8.9,6.0,2026-05-16
1132812,coles,8.9,6.0,2026-05-16
1135297,coles,6.5,6.5,2026-05-16
1135311,coles,6.5,6.5,2026-05-16
1145428,coles,21.5,19.0,2026-05-16
1145440,coles,17.6,17.6,2026-05-16
1156592,coles,9.0,9.0,2026-05-16
1156606,coles,9.0,9.0,2026-05-16
1156617,coles,9.0,9.0,2026-05-16
1281572,coles,2.6,2.6,2026-05-16
1619475,coles,12.0,12.0,2026-05-16
1619500,coles,4.05,2.9,2026-05-16
1619533,coles,5.8,5.8,2026-05-16
1620044,coles,7.9,5.5,2026-05-16
1700868,coles,9.5,9.5,2026-05-16
1700890,coles,9.5,9.5,2026-05-16
1710748,coles,9.0,9.0,2026-05-16
1750254,coles,7.0,7.0,2026-05-16
1784937,coles,9.5,9.5,2026-05-16
1813365,coles,26.1,26.1,2026-05-16
2244549,coles,19.0,19.0,2026-05-16
2372797,coles,2.6,2.6,2026-05-16
2499255,coles,7.0,7.0,2026-05-16
3055202,coles,13.5,13.5,2026-05-16
3055257,coles,6.5,3.25,2026-05-16
3055268,coles,2.5,2.5,2026-05-16
3055290,coles,2.5,2.5,2026-05-16
3064076,coles,9.0,9.0,2026-05-16
3157745,coles,4.5,4.5,2026-05-16
3215105,coles,7.0,7.0,2026-05-16
3281041,coles,15.0,15.0,2026-05-16
3281063,coles,15.0,15.0,2026-05-16
3500327,coles,8.9,6.0,2026-05-16
3500382,coles,8.9,6.0,2026-05-16
3517115,coles,12.0,12.0,2026-05-16
3590104,coles,15.0,15.0,2026-05-16
3661246,coles,3.0,3.0,2026-05-16
3661268,coles,3.0,3.0,2026-05-16
3758042,coles,11.0,9.5,2026-05-16
3779381,coles,7.0,7.0,2026-05-16
3779428,coles,9.0,5.4,2026-05-16
3779450,coles,9.0,5.4,2026-05-16
3974092,coles,14.0,10.0,2026-05-16
3974730,coles,3.8,3.8,2026-05-16
4308551,coles,11.0,9.5,2026-05-16
4308631,coles,8.9,6.0,2026-05-16
4310848,coles,9.5,7.0,2026-05-16
4312821,coles,9.0,6.5,2026-05-16
4312832,coles,9.0,6.5,2026-05-16
4312843,coles,9.0,6.5,2026-05-16
5034000,coles,13.0,13.0,2026-05-16
5034134,coles,8.5,8.5,2026-05-16
5080936,coles,2.2,2.2,2026-05-16
5118857,coles,3.8,3.8,2026-05-16
5284765,coles,6.5,6.5,2026-05-16
5288482,coles,9.0,6.5,2026-05-16
5293507,coles,9.5,7.0,2026-05-16
5297417,coles,8.9,6.0,2026-05-16
5749086,coles,2.6,2.6,2026-05-16
5749166,coles,3.0,3.0,2026-05-16
5834527,coles,2.2,2.2,2026-04-27
5865350,coles,11.0,11.0,2026-05-16
6325314,coles,2.9,2.3,2026-05-16
6891231,coles,1.45,1.45,2026-05-16
7028030,coles,18.0,18.0,2026-05-16
7043624,coles,8.9,6.0,2026-05-16
7062550,coles,6.5,6.5,2026-05-16
7062560,coles,6.5,6.5,2026-05-16
7062811,coles,9.5,7.0,2026-05-16
7083221,coles,8.5,8.5,2026-05-16
7083243,coles,8.5,8.5,2026-05-16
7340120,coles,4.5,4.5,2026-05-16
7758634,coles,11.0,11.0,2026-05-16
8053598,coles,3.2,3.2,2026-05-16
8065804,coles,1.7,1.7,2026-04-27
8134758,coles,2.8,2.8,2026-05-16
