date,product_id,vendor,category,price
2026-04-27,3055257,coles,toilet_paper,6.5
2026-04-27,3064076,coles,toilet_paper,9.0
2026-04-27,3424251,coles,toilet_paper,8.0
2026-04-27,3517115,coles,toilet_paper,12.0
2026-04-27,3798342,coles,toilet_paper,1.92
2026-04-27,3974092,coles,toilet_paper,10.0
2026-04-27,3974730,coles,toilet_paper,3.8
2026-04-27,4792421,coles,toilet_paper,21.5
2026-04-27,5031045,coles,toilet_paper,5.25
2026-04-27,5032605,coles,toilet_paper,3.8
2026-04-27,5034000,coles,toilet_paper,13.0
2026-04-27,5034134,coles,toilet_paper,8.5
2026-04-27,5048219,coles,toilet_paper,5.0
2026-04-27,5294180,coles,toilet_paper,4.3
2026-04-27,5865350,coles,toilet_paper,11.0
2026-04-27,7028030,coles,toilet_paper,18.0
2026-04-27,7316589,coles,toilet_paper,6.3
2026-04-27,7489689,coles,toilet_paper,9.0
2026-04-27,7758634,coles,toilet_paper,11.0
2026-04-27,8685092,coles,toilet_paper,4.0
2026-04-27,8764450,coles,toilet_paper,12.0
2026-04-27,9102054,coles,toilet_paper,2.9
2026-04-27,9102065,coles,toilet_paper,3.8
2026-04-27,9102145,coles,toilet_paper,8.0
2026-04-27,9152370,coles,toilet_paper,9.5
2026-04-27,9152391,coles,toilet_paper,4.6
2026-04-27,9152405,coles,toilet_paper,7.5
2026-04-27,9161472,coles,toilet_paper,2.2
2026-04-27,9333523,coles,toilet_paper,4.5
2026-04-27,9546921,coles,toilet_paper,5.0
2026-04-27,9642980,coles,toilet_paper,6.0
2026-04-27,9800265,coles,toilet_paper,5.8
2026-04-27,104537,woolworths,granola,6.9
2026-04-27,143191,woolworths,granola,8.9
2026-04-27,147307,woolworths,granola,12.7
2026-04-27,148981,woolworths,granola,8.5
2026-04-27,150504,woolworths,granola,8.5
2026-04-27,175403,woolworths,granola,9.0
2026-04-27,208083,woolworths,granola,10.0
2026-04-27,208879,woolworths,granola,12.8
2026-04-27,208900,woolworths,granola,8.9
2026-04-27,225360,woolworths,granola,10.0
2026-04-27,225942,woolworths,granola,9.5
2026-04-27,238059,woolworths,granola,4.7
2026-04-27,243783,woolworths,granola,3.85
2026-04-27,243822,woolworths,granola,3.85
2026-04-27,243852,woolworths,granola,3.85
2026-04-27,243895,woolworths,granola,3.85
2026-04-27,272313,woolworths,granola,8.9
2026-04-27,272603,woolworths,granola,8.5
2026-04-27,304776,woolworths,granola,15.0
2026-04-27,377308,woolworths,granola,5.85
2026-04-27,420783,woolworths,granola,9.0
2026-04-27,435447,woolworths,granola,9.5
2026-04-27,435816,woolworths,granola,8.5
2026-04-27,440154,woolworths,granola,8.5
2026-04-27,53843,woolworths,granola,4.7
2026-04-27,53852,woolworths,granola,6.9
2026-04-27,566256,woolworths,granola,6.0
2026-04-27,601574,woolworths,granola,7.5
2026-04-27,6029127,woolworths,granola,9.0
2026-04-27,6030841,woolworths,granola,9.0
2026-04-27,6031000,woolworths,granola,9.0
2026-04-27,6031257,woolworths,granola,12.0
2026-04-27,6032680,woolworths,granola,8.9
2026-04-27,6032780,woolworths,granola,8.9
2026-04-27,603792,woolworths,granola,6.0
2026-04-27,6054581,woolworths,granola,8.9
2026-04-27,6054590,woolworths,granola,12.5
2026-04-27,6054597,woolworths,granola,9.0
2026-04-27,6054603,woolworths,granola,4.7
2026-04-27,6054840,woolworths,granola,7.6
2026-04-27,6054860,woolworths,granola,7.6
2026-04-27,6054922,woolworths,granola,8.5
2026-04-27,6055344,woolworths,granola,7.0
2026-04-27,6055743,woolworths,granola,7.6
2026-04-27,6056180,woolworths,granola,7.6
2026-04-27,6056190,woolworths,granola,7.6
2026-04-27,6067043,woolworths,granola,9.0
2026-04-27,6067336,woolworths,granola,9.0
2026-04-27,609556,woolworths,granola,7.0
2026-04-27,686551,woolworths,granola,7.0
2026-04-27,70720,woolworths,granola,4.0
2026-04-27,810344,woolworths,granola,9.0
2026-04-27,85468,woolworths,granola,5.6
2026-04-27,85470,woolworths,granola,5.6
2026-04-27,85598,woolworths,granola,7.0
2026-04-27,935641,woolworths,granola,12.0
2026-04-27,119221,woolworths,tissue,2.6
2026-04-27,121154,woolworths,tissue,1.7
2026-04-27,1475,woolworths,tissue,3.6
2026-04-27,171303,woolworths,tissue,6.0
2026-04-27,172610,woolworths,tissue,3.5
2026-04-27,173155,woolworths,tissue,6.0
2026-04-27,173652,woolworths,tissue,13.5
2026-04-27,183671,woolworths,tissue,5.0
2026-04-27,193613,woolworths,tissue,4.0
2026-04-27,237230,woolworths,tissue,2.0
2026-04-27,237935,woolworths,tissue,2.2
2026-04-27,29425,woolworths,tissue,2.2
2026-04-27,317491,woolworths,tissue,2.2
2026-04-27,318338,woolworths,tissue,2.3
2026-04-27,390686,woolworths,tissue,9.0
2026-04-27,439743,woolworths,tissue,4.1
2026-04-27,443282,woolworths,tissue,8.0
2026-04-27,464665,woolworths,tissue,9.0
2026-04-27,534743,woolworths,tissue,3.5
2026-04-27,580718,woolworths,tissue,1.8
2026-04-27,6006077,woolworths,tissue,2.0
2026-04-27,6006664,woolworths,tissue,3.8
2026-04-27,6048140,woolworths,tissue,16.0
2026-04-27,6055337,woolworths,tissue,2.0
2026-04-27,6055353,woolworths,tissue,2.5
2026-04-27,6055454,woolworths,tissue,2.0
2026-04-27,6056229,woolworths,tissue,3.5
2026-04-27,6059232,woolworths,tissue,11.0
2026-04-27,62777,woolworths,tissue,3.0
2026-04-27,63899,woolworths,tissue,3.0
2026-04-27,64373,woolworths,tissue,2.7
2026-04-27,644239,woolworths,tissue,2.9
2026-04-27,644240,woolworths,tissue,1.95
2026-04-27,720282,woolworths,tissue,2.2
2026-04-27,759496,woolworths,tissue,1.9
2026-04-27,79492,woolworths,tissue,2.6
2026-04-27,905464,woolworths,tissue,2.5
2026-04-27,972443,woolworths,tissue,1.35
2026-04-27,100078,woolworths,toilet_paper,4.5
2026-04-27,100718,woolworths,toilet_paper,10.0
2026-04-27,103467,woolworths,toilet_paper,1.9
2026-04-27,103712,woolworths,toilet_paper,12.0
2026-04-27,104253,woolworths,toilet_paper,17.0
2026-04-27,108769,woolworths,toilet_paper,10.0
2026-04-27,109133,woolworths,toilet_paper,14.0
2026-04-27,113415,woolworths,toilet_paper,8.5
2026-04-27,12407,woolworths,toilet_paper,7.5
2026-04-27,132413,woolworths,toilet_paper,3.6
2026-04-27,132612,woolworths,toilet_paper,16.0
2026-04-27,134075,woolworths,toilet_paper,5.0
2026-04-27,136745,woolworths,toilet_paper,6.2
2026-04-27,13690,woolworths,toilet_paper,12.0
2026-04-27,141468,woolworths,toilet_paper,8.5
2026-04-27,149635,woolworths,toilet_paper,11.5
2026-04-27,150052,woolworths,toilet_paper,5.5
2026-04-27,150501,woolworths,toilet_paper,3.5
2026-04-27,150502,woolworths,toilet_paper,3.5
2026-04-27,156865,woolworths,toilet_paper,4.5
2026-04-27,157334,woolworths,toilet_paper,9.0
2026-04-27,158767,woolworths,toilet_paper,8.6
2026-04-27,159217,woolworths,toilet_paper,6.5
2026-04-27,159290,woolworths,toilet_paper,2.5
2026-04-27,160981,woolworths,toilet_paper,7.65
2026-04-27,161524,woolworths,toilet_paper,5.0
2026-04-27,162030,woolworths,toilet_paper,3.5
2026-04-27,164563,woolworths,toilet_paper,11.0
2026-04-27,165304,woolworths,toilet_paper,3.5
2026-04-27,165930,woolworths,toilet_paper,23.0
2026-04-27,166383,woolworths,toilet_paper,3.1
2026-04-27,166512,woolworths,toilet_paper,3.1
2026-04-27,166733,woolworths,toilet_paper,3.1
2026-04-27,167690,woolworths,toilet_paper,1.75
2026-04-27,167699,woolworths,toilet_paper,3.2
2026-04-27,169318,woolworths,toilet_paper,4.5
2026-04-27,169319,woolworths,toilet_paper,2.4
2026-04-27,169342,woolworths,toilet_paper,2.52
2026-04-27,171164,woolworths,toilet_paper,2.2
2026-04-27,171303,woolworths,toilet_paper,6.0
2026-04-27,173155,woolworths,toilet_paper,6.0
2026-04-27,173652,woolworths,toilet_paper,13.5
2026-04-27,176852,woolworths,toilet_paper,4.5
2026-04-27,177490,woolworths,toilet_paper,8.0
2026-04-27,178477,woolworths,toilet_paper,8.5
2026-04-27,183885,woolworths,toilet_paper,25.0
2026-04-27,183959,woolworths,toilet_paper,2.2
2026-04-27,183960,woolworths,toilet_paper,2.2
2026-04-27,183961,woolworths,toilet_paper,3.5
2026-04-27,183962,woolworths,toilet_paper,3.5
2026-04-27,188515,woolworths,toilet_paper,0.25
2026-04-27,194860,woolworths,toilet_paper,8.5
2026-04-27,196464,woolworths,toilet_paper,8.4
2026-04-27,196511,woolworths,toilet_paper,2.0
2026-04-27,19787,woolworths,toilet_paper,3.0
2026-04-27,20462,woolworths,toilet_paper,5.0
2026-04-27,209995,woolworths,toilet_paper,4.2
2026-04-27,212551,woolworths,toilet_paper,8.0
2026-04-27,212842,woolworths,toilet_paper,5.25
2026-04-27,215237,woolworths,toilet_paper,3.5
2026-04-27,215238,woolworths,toilet_paper,3.5
2026-04-27,215240,woolworths,toilet_paper,7.0
2026-04-27,21633,woolworths,toilet_paper,3.5
2026-04-27,221346,woolworths,toilet_paper,1.56
2026-04-27,221347,woolworths,toilet_paper,2.1
2026-04-27,221348,woolworths,toilet_paper,1.8
2026-04-27,221478,woolworths,toilet_paper,3.0
2026-04-27,221479,woolworths,toilet_paper,3.0
2026-04-27,221481,woolworths,toilet_paper,3.0
2026-04-27,221590,woolworths,toilet_paper,1.8
2026-04-27,221591,woolworths,toilet_paper,3.0
2026-04-27,221672,woolworths,toilet_paper,2.6
2026-04-27,221676,woolworths,toilet_paper,2.4
2026-04-27,221694,woolworths,toilet_paper,4.5
2026-04-27,221696,woolworths,toilet_paper,4.4
2026-04-27,221697,woolworths,toilet_paper,5.0
2026-04-27,221700,woolworths,toilet_paper,3.37
